system,regime,implicit_sentiment,sarcasm,irony,idiom_figurative,code_switching,mocking,macro_pragmatic_f1,seed_count,provenance
PhoBERT best-tuned,best_tuned,60.847,77.3724,96.3217,97.2958,78.9872,79.4542,81.713,3,baseline_registry.csv
XLM-R-large best-tuned,best_tuned,58.3006,79.4915,96.853,97.2958,72.1584,80.7996,80.8165,3,baseline_registry.csv
Sailor-7B best-tuned,best_tuned,57.433,78.5726,97.4132,97.1479,81.2781,81.3063,82.1918,3,baseline_registry.csv
Vistral-7B best-tuned,best_tuned,59.5888,80.0318,97.0536,96.35,81.9458,81.9802,82.825,3,baseline_registry.csv
ViPragSent original,original,46.9214,75.6892,96.9829,97.2365,47.6303,78.0213,73.7469,3,baseline_registry.csv
ViPragSent previous optimized,previous_optimized,64.634,77.4834,97.3454,96.7542,76.3569,79.8453,82.0699,3,optimized_vipragsent
ViPragSent final incumbent,incumbent,67.9829,80.2781,96.9009,97.1965,80.1313,82.0528,84.0904,6,archive/38fa5fc
ViPragSent final continuation,final_best_tuned_continuation,67.9829,80.2781,97.0177,97.182,81.8164,82.0528,84.3883,6,frozen 5-fold OOF target mixture
