branch,stage,status,candidate,target_label,alpha,selection_score,oof_f1,fold_mean,fold_std,full_dev_threshold,notes
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.35,96.71306657770126,97.00218761414368,96.98550406524286,1.089749950166409,0.6599458090650537,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.35,79.23624005192715,80.41830844645386,80.40463022945538,4.673560710112922,0.5753678715943047,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.375,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.8359188394000132,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.375,96.71306657770126,97.00218761414368,96.98550406524286,1.089749950166409,0.6725905797599503,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.375,79.23926002969192,80.31946144785091,80.31624052829766,4.307921994422937,0.5398883170758684,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.4,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.830267451206843,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.4,96.71306657770126,97.00218761414368,96.98550406524286,1.089749950166409,0.685235350454847,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.4,79.82707117226909,80.7785266242323,80.82255910781063,3.9819517421661614,0.556756509716312,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.425,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.8246160630136727,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.425,96.71306657770126,97.00218761414368,96.98550406524286,1.089749950166409,0.6978801211497435,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.425,79.16949744736846,80.54010854460066,80.37803900264768,4.834166221116897,0.5449825571655915,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.45,97.23662267120737,97.52069445348357,97.50262336522133,1.0640027760558015,0.9603487690289814,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.45,96.71306657770126,97.00218761414368,96.98550406524286,1.089749950166409,0.7105248918446401,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,code_switching,0.45,80.00454887654224,80.97596176883505,81.05322373632569,4.194699439133809,0.5364713550157225,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,irony,0.475,97.03426717487098,97.35899971337379,97.33580932323405,1.2061685934522965,0.8133132866273323,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
cross_backbone_exact,A,evaluated,visobert_phobert_probability_blend,idiom_figurative,0.475,96.71306657770126,97.00218761414368,96.98550406524286,1.089749950166409,0.9264976292848586,alpha grid .30-.85 step .025; exact unique+midpoint threshold search
