candidate,selection_score,mean_target_label_f1,std_target_label_f1,overall_pragmatic_macro_f1,implicit_sentiment,sarcasm,irony,idiom_figurative,code_switching,mocking
incumbent,90.72565121947926,91.08744013466406,1.4471556607392115,83.69580066592907,67.94274112611075,79.73183898932152,97.35899971337379,96.83615390212958,79.16351598864075,81.14155427599799
code_char26w15,89.37822763931536,89.76400616454983,1.5431141009378941,83.02210620765499,67.94274112611075,79.73183898932152,97.35899971337379,96.83615390212958,75.12134923899629,81.14155427599799
code_char35w1,89.34762200689796,89.70076906415541,1.4125882290298049,82.99150467950041,67.94274112611075,79.73183898932152,97.35899971337379,96.83615390212958,74.9377400700688,81.14155427599799
code_char35w15,89.26701533412205,89.62039538670712,1.4135202103402715,82.95159415993236,67.94274112611075,79.73183898932152,97.35899971337379,96.83615390212958,74.69827695266046,81.14155427599799
