candidate,selection_score,mean_target_label_f1,std_target_label_f1,overall_pragmatic_macro_f1,implicit_sentiment,sarcasm,irony,idiom_figurative,code_switching,mocking
targetcross,91.51428204535775,91.81259802786745,1.193263930038797,84.06358580813158,67.94274112611075,79.73183898932152,97.52069445348357,97.00218761414368,81.0424983897319,81.14155427599799
targetcross_codeens,91.16929471716168,91.54368803434187,1.4975732687207486,83.91924103901,67.94274112611075,79.73183898932152,97.52069445348357,97.00218761414368,80.17642977500248,81.14155427599799
incumbent_codeens,91.04197769751275,91.43239741285194,1.5616788613567694,83.86461963032268,67.94274112611075,79.73183898932152,97.35899971337379,96.83615390212958,80.17642977500248,81.14155427599799
incumbent,90.72565121947926,91.08744013466406,1.4471556607392115,83.69580066592907,67.94274112611075,79.73183898932152,97.35899971337379,96.83615390212958,79.16351598864075,81.14155427599799
code12,61.08742369058461,61.495934166697225,1.6340419044504606,56.84317078987854,47.60810865272236,54.65256190862935,56.7124867777199,47.60282944720985,80.20900148717251,54.27403646581729
code13,59.79165485473799,60.18672804623565,1.5802927659906345,54.743449701951704,52.77982359387829,46.12263934736021,47.575360419397114,54.58766701603259,78.42583575022626,48.96937208481577
code11,58.837645559448255,59.05911989132163,0.8858973274935033,54.24143715169267,48.309276821838154,47.50589679068222,49.882320142392224,47.60282944720985,79.74062207867006,52.40767762936356
