candidate,selection_score,mean_target_label_f1,std_target_label_f1,overall_pragmatic_macro_f1,implicit_sentiment,sarcasm,irony,idiom_figurative,code_switching,mocking
code_encoder_residual,90.99581969956515,91.2937303482041,1.1916425945558007,83.79198501426728,67.94274112611075,79.73183898932152,97.35899971337379,96.83615390212958,79.74062207867006,81.14155427599799
incumbent,90.72565121947926,91.08744013466406,1.4471556607392115,83.69580066592907,67.94274112611075,79.73183898932152,97.35899971337379,96.83615390212958,79.16351598864075,81.14155427599799
codeenc,58.837645559448255,59.05911989132163,0.8858973274935033,54.24143715169267,48.309276821838154,47.50589679068222,49.882320142392224,47.60282944720985,79.74062207867006,52.40767762936356
